[2024/03/28 22:02:09.719][epsonscan2      ][DbgLog.cpp                                   ; 569][P7CDbgLog                                    ][00006563][-ERROR-] LoadModule Path:[/usr/bin/epsonscan2] Ver:[1.0.0]
[2024/03/28 22:02:10.040][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2240 productIDAsString = 08C0 
[2024/03/28 22:02:10.041][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2240 productIDAsString = 08C0 
[2024/03/28 22:02:10.042][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2242 productIDAsString = 08C2 
[2024/03/28 22:02:10.043][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2242 productIDAsString = 08C2 
[2024/03/28 22:02:10.044][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 380 productIDAsString = 017C 
[2024/03/28 22:02:10.045][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4418 productIDAsString = 1142 
[2024/03/28 22:02:10.046][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4436 productIDAsString = 1154 
[2024/03/28 22:02:10.047][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4459 productIDAsString = 116B 
[2024/03/28 22:02:10.048][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4489 productIDAsString = 1189 
[2024/03/28 22:02:10.049][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4494 productIDAsString = 118E 
[2024/03/28 22:02:10.050][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4539 productIDAsString = 11BB 
[2024/03/28 22:02:10.051][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4440 productIDAsString = 1158 
[2024/03/28 22:02:10.052][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4440 productIDAsString = 1158 
[2024/03/28 22:02:10.052][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4440 productIDAsString = 1158 
[2024/03/28 22:02:10.054][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 395 productIDAsString = 018B 
[2024/03/28 22:02:10.055][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4497 productIDAsString = 1191 
[2024/03/28 22:02:10.056][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4497 productIDAsString = 1191 
[2024/03/28 22:02:10.057][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4379 productIDAsString = 111B 
[2024/03/28 22:02:10.058][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4461 productIDAsString = 116D 
[2024/03/28 22:02:10.059][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4461 productIDAsString = 116D 
[2024/03/28 22:02:10.060][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4429 productIDAsString = 114D 
[2024/03/28 22:02:10.061][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4429 productIDAsString = 114D 
[2024/03/28 22:02:10.062][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4403 productIDAsString = 1133 
[2024/03/28 22:02:10.063][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4488 productIDAsString = 1188 
[2024/03/28 22:02:10.064][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4540 productIDAsString = 11BC 
[2024/03/28 22:02:10.065][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2237 productIDAsString = 08BD 
[2024/03/28 22:02:10.065][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2237 productIDAsString = 08BD 
[2024/03/28 22:02:10.066][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 312 productIDAsString = 0138 
[2024/03/28 22:02:10.068][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 312 productIDAsString = 0138 
[2024/03/28 22:02:10.069][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 385 productIDAsString = 0181 
[2024/03/28 22:02:10.071][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4524 productIDAsString = 11AC 
[2024/03/28 22:02:10.072][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4520 productIDAsString = 11A8 
[2024/03/28 22:02:10.073][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4427 productIDAsString = 114B 
[2024/03/28 22:02:10.074][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4531 productIDAsString = 11B3 
[2024/03/28 22:02:10.075][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2233 productIDAsString = 08B9 
[2024/03/28 22:02:10.076][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2233 productIDAsString = 08B9 
[2024/03/28 22:02:10.077][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 388 productIDAsString = 0184 
[2024/03/28 22:02:10.078][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 394 productIDAsString = 018A 
[2024/03/28 22:02:10.079][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2213 productIDAsString = 08A5 
[2024/03/28 22:02:10.080][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2213 productIDAsString = 08A5 
[2024/03/28 22:02:10.081][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 347 productIDAsString = 015B 
[2024/03/28 22:02:10.082][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 347 productIDAsString = 015B 
[2024/03/28 22:02:10.083][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4446 productIDAsString = 115E 
[2024/03/28 22:02:10.084][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2256 productIDAsString = 08D0 
[2024/03/28 22:02:10.085][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2256 productIDAsString = 08D0 
[2024/03/28 22:02:10.086][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 370 productIDAsString = 0172 
[2024/03/28 22:02:10.087][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2254 productIDAsString = 08CE 
[2024/03/28 22:02:10.088][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2254 productIDAsString = 08CE 
[2024/03/28 22:02:10.089][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4468 productIDAsString = 1174 
[2024/03/28 22:02:10.090][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4468 productIDAsString = 1174 
[2024/03/28 22:02:10.091][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2201 productIDAsString = 0899 
[2024/03/28 22:02:10.092][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2201 productIDAsString = 0899 
[2024/03/28 22:02:10.094][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 368 productIDAsString = 0170 
[2024/03/28 22:02:10.095][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4552 productIDAsString = 11C8 
[2024/03/28 22:02:10.096][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4552 productIDAsString = 11C8 
[2024/03/28 22:02:10.097][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 392 productIDAsString = 0188 
[2024/03/28 22:02:10.099][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 387 productIDAsString = 0183 
[2024/03/28 22:02:10.100][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 337 productIDAsString = 0151 
[2024/03/28 22:02:10.101][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 337 productIDAsString = 0151 
[2024/03/28 22:02:10.102][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2227 productIDAsString = 08B3 
[2024/03/28 22:02:10.103][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2227 productIDAsString = 08B3 
[2024/03/28 22:02:10.104][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4480 productIDAsString = 1180 
[2024/03/28 22:02:10.105][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 316 productIDAsString = 013C 
[2024/03/28 22:02:10.106][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4414 productIDAsString = 113E 
[2024/03/28 22:02:10.107][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 333 productIDAsString = 014D 
[2024/03/28 22:02:10.108][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 333 productIDAsString = 014D 
[2024/03/28 22:02:10.109][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4409 productIDAsString = 1139 
[2024/03/28 22:02:10.110][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 398 productIDAsString = 018E 
[2024/03/28 22:02:10.111][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 398 productIDAsString = 018E 
[2024/03/28 22:02:10.112][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4509 productIDAsString = 119D 
[2024/03/28 22:02:10.113][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4434 productIDAsString = 1152 
[2024/03/28 22:02:10.114][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4378 productIDAsString = 111A 
[2024/03/28 22:02:10.115][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4381 productIDAsString = 111D 
[2024/03/28 22:02:10.116][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4381 productIDAsString = 111D 
[2024/03/28 22:02:10.117][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 330 productIDAsString = 014A 
[2024/03/28 22:02:10.118][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 330 productIDAsString = 014A 
[2024/03/28 22:02:10.119][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2231 productIDAsString = 08B7 
[2024/03/28 22:02:10.120][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2231 productIDAsString = 08B7 
[2024/03/28 22:02:10.121][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2236 productIDAsString = 08BC 
[2024/03/28 22:02:10.122][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2236 productIDAsString = 08BC 
[2024/03/28 22:02:10.123][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4412 productIDAsString = 113C 
[2024/03/28 22:02:10.124][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4412 productIDAsString = 113C 
[2024/03/28 22:02:10.125][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4395 productIDAsString = 112B 
[2024/03/28 22:02:10.126][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4395 productIDAsString = 112B 
[2024/03/28 22:02:10.127][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4395 productIDAsString = 112B 
[2024/03/28 22:02:10.128][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2230 productIDAsString = 08B6 
[2024/03/28 22:02:10.128][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2230 productIDAsString = 08B6 
[2024/03/28 22:02:10.130][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 363 productIDAsString = 016B 
[2024/03/28 22:02:10.131][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4469 productIDAsString = 1175 
[2024/03/28 22:02:10.133][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4469 productIDAsString = 1175 
[2024/03/28 22:02:10.134][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4469 productIDAsString = 1175 
[2024/03/28 22:02:10.135][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 361 productIDAsString = 0169 
[2024/03/28 22:02:10.136][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4479 productIDAsString = 117F 
[2024/03/28 22:02:10.137][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4479 productIDAsString = 117F 
[2024/03/28 22:02:10.138][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4479 productIDAsString = 117F 
[2024/03/28 22:02:10.139][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4487 productIDAsString = 1187 
[2024/03/28 22:02:10.140][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4376 productIDAsString = 1118 
[2024/03/28 22:02:10.142][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 405 productIDAsString = 0195 
[2024/03/28 22:02:10.143][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4361 productIDAsString = 1109 
[2024/03/28 22:02:10.144][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4361 productIDAsString = 1109 
[2024/03/28 22:02:10.145][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4476 productIDAsString = 117C 
[2024/03/28 22:02:10.146][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 401 productIDAsString = 0191 
[2024/03/28 22:02:10.147][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4419 productIDAsString = 1143 
[2024/03/28 22:02:10.148][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4419 productIDAsString = 1143 
[2024/03/28 22:02:10.149][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4364 productIDAsString = 110C 
[2024/03/28 22:02:10.150][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4507 productIDAsString = 119B 
[2024/03/28 22:02:10.151][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4383 productIDAsString = 111F 
[2024/03/28 22:02:10.152][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4445 productIDAsString = 115D 
[2024/03/28 22:02:10.153][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4445 productIDAsString = 115D 
[2024/03/28 22:02:10.154][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2244 productIDAsString = 08C4 
[2024/03/28 22:02:10.154][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2172 productIDAsString = 087C 
[2024/03/28 22:02:10.155][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 2172 productIDAsString = 087C 
[2024/03/28 22:02:10.156][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4377 productIDAsString = 1119 
[2024/03/28 22:02:10.157][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 389 productIDAsString = 0185 
[2024/03/28 22:02:10.159][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4467 productIDAsString = 1173 
[2024/03/28 22:02:10.160][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4467 productIDAsString = 1173 
[2024/03/28 22:02:10.161][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4465 productIDAsString = 1171 
[2024/03/28 22:02:10.162][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 340 productIDAsString = 0154 
[2024/03/28 22:02:10.163][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][00006563][-TRACE-] modelProductID = 4527 productIDAsString = 11AF 
